file_name,file_path,cyclomatic_complexity
ExampleInstrumentedTest.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\androidTest\java\com\codelabs\agrimate\ExampleInstrumentedTest.kt,1
AgrimateApplication.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\AgrimateApplication.kt,1
BaseViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\common\BaseViewModel.kt,1
FormHandler.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\common\FormHandler.kt,1
AppModule.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\di\AppModule.kt,1
LibraryModule.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\di\LibraryModule.kt,1
MainActivity.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\MainActivity.kt,1
CapitalScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\capital\CapitalScreen.kt,1
ChatScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\chat\ChatScreen.kt,1
UserChatScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\chat\UserChatScreen.kt,1
UserChatViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\chat\UserChatViewModel.kt,1
DiscussionScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\discussion\DiscussionScreen.kt,1
