file_name,file_path,cloc
AgrimateApplication.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\AgrimateApplication.kt,0
BaseViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\common\BaseViewModel.kt,0
FormHandler.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\common\FormHandler.kt,0
AppModule.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\di\AppModule.kt,0
LibraryModule.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\di\LibraryModule.kt,0
MainActivity.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\MainActivity.kt,0
CapitalScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\capital\CapitalScreen.kt,0
ChatScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\chat\ChatScreen.kt,0
UserChatScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\chat\UserChatScreen.kt,0
UserChatViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\chat\UserChatViewModel.kt,0
DiscussionScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\discussion\DiscussionScreen.kt,0
FarmerCalculatorScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\farmercalculator\FarmerCalculatorScreen.kt,0
HelpHarvestScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\helpharvest\HelpHarvestScreen.kt,0
HelpPlanScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\helpplan\HelpPlanScreen.kt,0
HomeScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\home\HomeScreen.kt,1
HomeUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\home\HomeUiState.kt,0
HomeViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\home\HomeViewModel.kt,0
LandAddScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\add\LandAddScreen.kt,2
LandAddUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\add\LandAddUiState.kt,0
LandAddViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\add\LandAddViewModel.kt,8
LandDetailActivityAddScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\add\LandDetailActivityAddScreen.kt,0
LandDetailActivityAddUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\add\LandDetailActivityAddUiState.kt,0
LandDetailActivityAddViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\add\LandDetailActivityAddViewModel.kt,7
LandDetailActivityScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\detail\LandDetailActivityScreen.kt,0
LandDetailActivityUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\detail\LandDetailActivityUiState.kt,0
LandDetailActivityViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\detail\LandDetailActivityViewModel.kt,0
LandActivityAddScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\LandActivityAddScreen.kt,0
LandActivityEditScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\LandActivityEditScreen.kt,1
LandActivityScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\LandActivityScreen.kt,0
LandReportAddScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\LandReportAddScreen.kt,0
LandReportScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\activity\LandReportScreen.kt,1
LandDetailScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\LandDetailScreen.kt,0
LandDetailUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\LandDetailUiState.kt,0
LandDetailViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\LandDetailViewModel.kt,0
PlantNutritionContent.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\detail\PlantNutritionContent.kt,0
LandEditScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\edit\LandEditScreen.kt,2
LandEditUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\edit\LandEditUiState.kt,0
LandEditViewModel.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\edit\LandEditViewModel.kt,8
LandScreen.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\LandScreen.kt,1
LandUiState.kt,C:\Users\dewat\Desktop\Project Skripsi Agrimate\agrimate-android\app\src\main\java\com\codelabs\agrimate\screens\farmer\land\LandUiState.kt,0
