file,loc_mi
ExampleInstrumentedTest.kt,14
AgrimateApplication.kt,5
BaseViewModel.kt,15
FormHandler.kt,5
AppModule.kt,60
LibraryModule.kt,19
MainActivity.kt,35
CapitalScreen.kt,55
ChatScreen.kt,100
UserChatScreen.kt,77
UserChatViewModel.kt,15
DiscussionScreen.kt,68
FarmerCalculatorScreen.kt,90
HelpHarvestScreen.kt,73
HelpPlanScreen.kt,72
HomeScreen.kt,346
HomeUiState.kt,8
HomeViewModel.kt,68
LandAddScreen.kt,606
LandAddUiState.kt,27
LandAddViewModel.kt,395
LandDetailActivityAddScreen.kt,434
LandDetailActivityAddUiState.kt,45
LandDetailActivityAddViewModel.kt,421
LandDetailActivityScreen.kt,619
LandDetailActivityUiState.kt,11
LandDetailActivityViewModel.kt,200
LandActivityAddScreen.kt,187
LandActivityEditScreen.kt,5
LandActivityScreen.kt,65
LandReportAddScreen.kt,116
LandReportScreen.kt,5
LandDetailScreen.kt,344
LandDetailUiState.kt,8
LandDetailViewModel.kt,45
PlantNutritionContent.kt,357
LandEditScreen.kt,558
LandEditUiState.kt,28
LandEditViewModel.kt,438
LandScreen.kt,257
LandUiState.kt,4
LandViewModel.kt,62
NewsScreen.kt,136
NewsViewModel.kt,10
NewsDetailScreen.kt,49
NewsDetailViewModel.kt,16
NotificationScreen.kt,112
CheckDiseaseScreen.kt,338
CheckDiseaseUiState.kt,4
CheckDiseaseViewModel.kt,70
DiseaseDetailScreen.kt,181
DiseaseDetailViewModel.kt,47
PlantHealthScreen.kt,111
SpreadOfDiseaseScreen.kt,278
PlantRecommendationScreen.kt,107
ProfileScreen.kt,311
ProfileUiState.kt,5
ProfileViewModel.kt,65
WeatherForecastScreen.kt,117
EmailVerificationScreen.kt,183
EmailVerificationUiState.kt,8
EmailVerificationViewModel.kt,84
TimerViewModel.kt,37
ForgotPasswordScreen.kt,121
ForgotPasswordUiState.kt,8
ForgotPasswordViewModel.kt,97
GetStarted.kt,205
ResetPasswordScreen.kt,124
ResetPasswordUiState.kt,7
ResetPasswordViewModel.kt,82
SignInScreen.kt,208
SignInUiState.kt,10
SignInViewModel.kt,139
SignupCollectorScreen.kt,311
SignupCollectorUiState.kt,27
SignupCollectorViewModel.kt,318
SignupFarmerScreen.kt,311
SignupFarmerUiState.kt,27
SignupFarmerViewModel.kt,318
SignupRoleChooserScreen.kt,100
SignupScreen.kt,361
SignupUiState.kt,34
SignupViewModel.kt,330
SplashScreen.kt,65
SplashViewModel.kt,45
CroppingPatternSelectInputImpl.kt,4
PlantCategorySelectInputImpl.kt,8
PlantCommoditySelectInputImpl.kt,5
ProfessionSelectInputImpl.kt,6
RegionSelectInputImpl.kt,6
UnitSelectInputImpl.kt,11
NavBarMenu.kt,12
UiState.kt,6
AGActionDropdown.kt,22
AGAuthNavAsk.kt,58
AGAuthTopBanner.kt,41
AGButton.kt,159
AGCameraPreview.kt,56
AGCard.kt,73
AGCardWarning.kt,78
AGDialog.kt,73
AGDisinfectantRecommendationCard.kt,95
AGDivider.kt,11
AGDropdownMenuItem.kt,31
AGExploreMenu.kt,77
AGFeatureCard.kt,70
AGFilterSheet.kt,369
AGInput.kt,884
AGLabelChip.kt,45
AGLandCard.kt,169
AGLandDetailCard.kt,168
AGMessageDialog.kt,79
AGNavbar.kt,119
AGNewsCard.kt,110
AGNotificationCard.kt,128
AGPermissionDialog.kt,75
AGTab.kt,92
AGTextOverview.kt,71
AGTopAppBar.kt,176
AGWeatherDayCard.kt,97
AGWeatherHourCard.kt,70
AGWeatherInfo.kt,140
AGWeatherInformation.kt,102
AGCapitalCard.kt,128
AGDiscussionCard.kt,212
AGBubbleMessage.kt,129
AGChatCard.kt,89
AGChatInputText.kt,107
AGDeleteConfirmDialog.kt,53
AGFailedHarvestConfirmDialog.kt,53
AGMessageDialogContent.kt,79
AGSuccessHarvestConfirmDialog.kt,53
CharacterStyle.kt,13
HtmlText.kt,118
MetricAffectingSpan.kt,44
AGMaps.kt,57
AGMapsCrosshair.kt,19
AGMapsMarkerController.kt,49
AGMapsPolygonDefault.kt,23
AGMapsPolygonMarker.kt,43
ExploreMenuModel.kt,6
FeatureCardModel.kt,7
NavbarMenuModel.kt,6
ShimmerBrush.kt,39
NumberTransformation.kt,20
Effect.kt,35
AgrimateDestinations.kt,110
AgrimateNavGraph.kt,25
FarmerGraph.kt,18
FarmerLandGraph.kt,82
FarmerMainGraph.kt,32
FarmerOtherGraph.kt,100
AuthGraph.kt,43
OnBoardingGraph.kt,21
Color.kt,80
Theme.kt,83
Type.kt,158
AGWebView.kt,21
CameraAnalyzer.kt,49
DateUtils.kt,83
FileUtils.kt,111
FormatUtils.kt,24
PermissionManager.kt,42
TimeUtils.kt,35
UiUtils.kt,9
ValidationUtils.kt,16
ExampleUnitTest.kt,9
DateUtilsTest.kt,29
FormatUtilsTest.kt,15
ExampleInstrumentedTest.kt,14
AuthRepositoryImpl.kt,76
CommodityRepositoryImpl.kt,24
DataStoreRepositoryImpl.kt,23
FarmerLandRepositoryImpl.kt,172
HarvestRepositoryImpl.kt,34
