Nama Kelas,V(g),HL(V),LOC,CLOC,MI,Maintainability Level
SignUpMapper.kt,1,101.58,14,0,103.99,Highly Maintainable
SignInMapper.kt,1,138.97,16,0,100.2,Highly Maintainable
RemainingLandAreaMapper.kt,1,95.18,15,0,103.21,Highly Maintainable
RegionMapper.kt,1,91.38,13,0,105.74,Highly Maintainable
AgrimateApplication.kt,1,4.75,5,0,136.59,Highly Maintainable
PlantDiseasePredictionMapper.kt,1,108.0,15,0,102.55,Highly Maintainable
UserChatViewModel.kt,1,87.57,15,0,103.64,Highly Maintainable
MainActivity.kt,1,204.04,35,0,85.52,Highly Maintainable
LibraryModule.kt,1,55.35,19,0,102.2,Highly Maintainable
FormHandler.kt,1,18.09,5,0,129.64,Highly Maintainable
BaseViewModel.kt,1,94.01,15,0,103.27,Highly Maintainable
UploadImageMapper.kt,1,68.11,9,0,113.23,Highly Maintainable
CheckDiseaseUiState.kt,1,11.61,4,0,135.56,Highly Maintainable
NewsDetailViewModel.kt,1,129.66,16,0,100.56,Highly Maintainable
NewsViewModel.kt,1,39.86,10,0,114.3,Highly Maintainable
FarmerLandDetailUseCase.kt,1,86.04,11,0,108.76,Highly Maintainable
FarmerLandDetailnteractor.kt,1,195.4,17,0,97.44,Highly Maintainable
DataStoreUseCase.kt,1,209.59,17,0,97.08,Highly Maintainable
DataStoreInteractor.kt,1,534.38,22,0,88.03,Highly Maintainable
CommodityUseCase.kt,1,19.65,7,0,123.76,Highly Maintainable
CommodityInteractor.kt,1,68.53,11,0,109.94,Highly Maintainable
AuthUseCase.kt,1,269.34,24,0,90.19,Highly Maintainable
RegionRepository.kt,1,43.19,7,0,119.67,Highly Maintainable
LandReportScreen.kt,1,12.0,5,1,165.16,Highly Maintainable
LandActivityEditScreen.kt,1,12.0,5,1,165.16,Highly Maintainable
LandUiState.kt,1,15.51,4,0,134.06,Highly Maintainable
LandDetailUiState.kt,1,53.15,8,0,116.42,Highly Maintainable
ForgotPasswordUiState.kt,1,75.28,8,0,114.61,Highly Maintainable
EmailVerificationUiState.kt,1,79.57,8,0,114.32,Highly Maintainable
DataStoreRepository.kt,1,209.59,17,0,97.08,Highly Maintainable
CommodityRepository.kt,1,19.65,7,0,123.76,Highly Maintainable
AuthRepository.kt,1,269.34,24,0,90.19,Highly Maintainable
UploadImageModel.kt,1,8.0,4,0,137.5,Highly Maintainable
SignUpModel.kt,1,27.0,6,0,124.61,Highly Maintainable
SignInModel.kt,1,65.73,8,0,115.32,Highly Maintainable
ResetPasswordModel.kt,1,18.09,5,0,129.64,Highly Maintainable
RemainingLandAreaModel.kt,1,30.88,5,0,126.86,Highly Maintainable
RegionModel.kt,1,16.25,5,0,130.2,Highly Maintainable
PlantNutritionModel.kt,1,36.5,7,0,120.54,Highly Maintainable
PlantDiseaseInteractor.kt,1,239.72,18,0,95.45,Highly Maintainable
NewsUseCase.kt,1,19.65,7,0,123.76,Highly Maintainable
NewsInteractor.kt,1,68.53,9,0,113.19,Highly Maintainable
HarvestUseCase.kt,1,53.89,8,0,116.35,Highly Maintainable
HarvestInteractor.kt,1,141.78,13,0,103.46,Highly Maintainable
FarmerLandUseCase.kt,1,227.43,20,0,94.02,Highly Maintainable
WeatherForecastScreen.kt,2,1498.23,117,1,105.01,Highly Maintainable
ProfileUiState.kt,1,28.07,5,0,127.36,Highly Maintainable
DiseaseDetailScreen.kt,4,2540.58,181,1,91.05,Highly Maintainable
HarvestModel.kt,1,111.01,10,0,108.98,Highly Maintainable
ForgotPasswordModel.kt,1,27.0,6,0,124.61,Highly Maintainable
FarmerLandModel.kt,1,190.16,18,0,96.66,Highly Maintainable
FarmerLandListItemModel.kt,1,63.12,9,0,113.62,Highly Maintainable
CroppingPatternModel.kt,1,16.25,5,0,130.2,Highly Maintainable
CreateFarmerLandModel.kt,1,27.0,3,0,135.83,Highly Maintainable
CommodityModel.kt,1,30.88,6,0,123.91,Highly Maintainable
CheckOTPModel.kt,1,107.31,10,0,109.15,Highly Maintainable
AuthMeModel.kt,1,36.5,7,0,120.54,Highly Maintainable
PlantingRepository.kt,1,101.58,11,0,107.9,Highly Maintainable
PlantDiseaseRepository.kt,1,108.0,12,0,106.17,Highly Maintainable
NewsRepository.kt,1,19.65,7,0,123.76,Highly Maintainable
HarvestRepository.kt,1,53.89,8,0,116.35,Highly Maintainable
FarmerLandRepository.kt,1,306.49,24,0,89.51,Highly Maintainable
