nama,profile_url,departemen,sinta_id,hindex_scopus,hindex_gs,sinta_score_3yr,sinta_score,affil_score_3yr,affil_score
EDDY SURYANTO SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/257962,Ilmu Manajemen (S3),257962,12,21,824,4.109,824,4.109
SENNY LUCKYARDI,https://sinta.kemdiktisaintek.go.id/authors/profile/6754370,Manajemen Pemasaran (D3),6754370,11,19,764,1.763,764,1.763
IRAWAN AFRIANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/5985954,Teknik Informatika (S1),5985954,9,25,620,2.362,620,2.362
UMI NARIMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/5999039,Ilmu Manajemen (S3),5999039,2,22,605,2.601,605,2.601
ZAINAL ARIFIN HASIBUAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6655639,Sistem Informasi (S2),6655639,12,24,571,3.521,571,3.521
WAHYUNI,https://sinta.kemdiktisaintek.go.id/authors/profile/258622,Sistem Informasi (S1),258622,2,4,570,2.964,570,2.964
LIA WARLINA,https://sinta.kemdiktisaintek.go.id/authors/profile/257844,Teknik Perencanaan Wilayah Dan Kota (S1),257844,6,12,481,1.688,481,1.688
PONI SUKAESIH KURNIATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258932,Ilmu Pemerintahan (S1),258932,3,14,428,1.048,428,1.048
BOBI KURNIAWAN SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/257836,Teknik Elektro (S1),257836,5,11,406,1.354,406,1.354
SRI DEWI ANGGADINI,https://sinta.kemdiktisaintek.go.id/authors/profile/258595,Akuntansi (S1),258595,6,21,393,1.845,393,1.845
LILIS PUSPITAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258587,Akuntansi (S1),258587,4,18,384,1.247,384,1.247
ANNISA PARAMITHA F.,https://sinta.kemdiktisaintek.go.id/authors/profile/258682,Sistem Informasi (S1),258682,2,8,370,928,370,928
SUPRIYATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258641,Komputerisasi Akuntansi (D3),258641,3,11,344,846,344,846
AGIS ABHI RAFDHI,https://sinta.kemdiktisaintek.go.id/authors/profile/6803098,Unknown,6803098,5,9,341,522,341,522
JANA UTAMA,https://sinta.kemdiktisaintek.go.id/authors/profile/6003866,Teknik Elektro (S1),6003866,4,9,336,772,336,772
MUHAMMAD ARIA RAJASA,https://sinta.kemdiktisaintek.go.id/authors/profile/258935,Teknik Elektro (S1),258935,6,12,333,1.110,333,1.110
SRI SUPATMI,https://sinta.kemdiktisaintek.go.id/authors/profile/6005094,Sistem Informasi (S2),6005094,6,10,332,1.178,332,1.178
WAHYUDI,https://sinta.kemdiktisaintek.go.id/authors/profile/6665452,Ilmu Hukum (S1),6665452,0,5,326,676,326,676
ANDRI SAHATA SITANGGANG,https://sinta.kemdiktisaintek.go.id/authors/profile/258716,Sistem Informasi (S1),258716,5,13,304,1.353,304,1.353
SUFA ATIN,https://sinta.kemdiktisaintek.go.id/authors/profile/258768,Teknik Informatika (S1),258768,5,14,301,1.350,301,1.350
TARYANA SURYANA,https://sinta.kemdiktisaintek.go.id/authors/profile/258260,Ilmu Komunikasi (S1),258260,1,14,292,1.583,292,1.583
DIANA EFFENDI,https://sinta.kemdiktisaintek.go.id/authors/profile/258596,Manajemen Informatika (D3),258596,3,9,288,811,288,811
RIO YUNANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/258648,Komputerisasi Akuntansi (D3),258648,3,7,268,705,268,705
YEFFRY HANDOKO PUTRA,https://sinta.kemdiktisaintek.go.id/authors/profile/259067,Sistem Informasi (S2),259067,4,10,260,1.120,260,1.120
ELY SUHAYATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258554,Akuntansi (S1),258554,1,11,254,883,254,883
TATIK ROHMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258739,Ilmu Pemerintahan (S1),258739,1,8,253,700,253,700
DINA OKTAFIANI,https://sinta.kemdiktisaintek.go.id/authors/profile/6803105,Unknown,6803105,2,2,238,488,238,488
RANI PUSPITA DHANIAWATY,https://sinta.kemdiktisaintek.go.id/authors/profile/258697,Sistem Informasi (S1),258697,2,9,230,783,230,783
HENNY,https://sinta.kemdiktisaintek.go.id/authors/profile/5999373,Teknik Industri (S1),5999373,4,8,229,692,229,692
HANHAN MAULANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6003865,Teknik Informatika (S1),6003865,4,12,220,698,220,698
SRI NURHAYATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258871,Sistem Komputer (S1),258871,3,10,217,797,217,797
DEWI KURNIASIH,https://sinta.kemdiktisaintek.go.id/authors/profile/259139,Ilmu Pemerintahan (S1),259139,2,12,216,986,216,986
WATI ARIS ASTUTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258586,Akuntansi (S1),258586,1,9,216,764,216,764
EKO BUDI SETIAWAN,https://sinta.kemdiktisaintek.go.id/authors/profile/6003867,Teknik Informatika (S1),6003867,3,21,215,1.489,215,1.489
AGUS NURSIKUWAGUS,https://sinta.kemdiktisaintek.go.id/authors/profile/258601,Manajemen Informatika (D3),258601,3,9,212,974,212,974
OLIH SOLIHIN,https://sinta.kemdiktisaintek.go.id/authors/profile/6005128,Ilmu Komunikasi (S1),6005128,1,11,210,769,210,769
RAHMA WAHDINIWATY,https://sinta.kemdiktisaintek.go.id/authors/profile/5987192,Manajemen (S2),5987192,2,15,209,905,209,905
AYUB SUBANDI,https://sinta.kemdiktisaintek.go.id/authors/profile/258875,Teknik Elektro (S1),258875,3,5,209,375,209,375
SAHAT MARULI TUA SITUMEANG,https://sinta.kemdiktisaintek.go.id/authors/profile/259618,Ilmu Hukum (S1),259618,1,14,207,822,207,822
HERMAN SURDIATNO SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/5979611,Ilmu Manajemen (S3),5979611,5,10,202,553,202,553
Y. DJOKO SETIYARTO,https://sinta.kemdiktisaintek.go.id/authors/profile/6666078,Teknik Sipil (S1),6666078,1,6,201,461,201,461
SYAHRUL MAULUDDIN,https://sinta.kemdiktisaintek.go.id/authors/profile/258616,Manajemen Informatika (D3),258616,4,9,199,1.237,199,1.237
DEDI SULISTYO SOEGOTO,https://sinta.kemdiktisaintek.go.id/authors/profile/258195,Manajemen (S2),258195,4,11,196,802,196,802
SONI MULYAWAN SETIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/258299,Sastra Jepang (S1),258299,2,9,193,786,193,786
IRFAN MALIKI,https://sinta.kemdiktisaintek.go.id/authors/profile/258853,Teknik Informatika (S1),258853,3,5,191,733,191,733
DEDEN A WAHAB,https://sinta.kemdiktisaintek.go.id/authors/profile/259249,Manajemen (S2),259249,2,9,189,864,189,864
ANGGA SETIYADI,https://sinta.kemdiktisaintek.go.id/authors/profile/258737,Teknik Informatika (S1),258737,3,14,189,957,189,957
YULLY AMBARSIH EKAWARDHANI,https://sinta.kemdiktisaintek.go.id/authors/profile/258688,Desain (S2),258688,1,3,185,735,185,735
MYRNA DWI RAHMATYA,https://sinta.kemdiktisaintek.go.id/authors/profile/258673,Manajemen Informatika (D3),258673,3,9,180,722,180,722
ISNIAR BUDIARTI,https://sinta.kemdiktisaintek.go.id/authors/profile/5977885,Ilmu Manajemen (S3),5977885,1,14,172,843,172,843
HETTY HASSANAH,https://sinta.kemdiktisaintek.go.id/authors/profile/6002971,Ilmu Hukum (S1),6002971,1,7,168,416,168,416
MUHAMMAD RAYHAN BUSTAM,https://sinta.kemdiktisaintek.go.id/authors/profile/6066614,Sastra Inggris (S1),6066614,1,12,166,500,166,500
LEONARDI PARIS HASUGIAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258695,Sistem Informasi (S1),258695,4,8,165,914,165,914
ADEH RATNA KOMALA,https://sinta.kemdiktisaintek.go.id/authors/profile/258605,Akuntansi (D3),258605,2,8,164,662,164,662
MOCHAMAD FAJAR WICAKSONO,https://sinta.kemdiktisaintek.go.id/authors/profile/258729,Teknik Komputer (D3),258729,2,12,163,982,163,982
IMELDA,https://sinta.kemdiktisaintek.go.id/authors/profile/5996634,Manajemen Informatika (D3),5996634,3,5,162,567,162,567
ANDRIAS DARMAYADI,https://sinta.kemdiktisaintek.go.id/authors/profile/6034983,Ilmu Hubungan Internasional (S1),6034983,2,3,161,539,161,539
ADI RACHMANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/258583,Akuntansi (D3),258583,1,6,159,445,159,445
ALAM SANTOSA,https://sinta.kemdiktisaintek.go.id/authors/profile/6004118,Teknik Industri (S1),6004118,2,6,158,449,158,449
SOPIAN ALVIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6675491,Teknik Informatika (S1),6675491,3,6,153,659,153,659
SELFA SEPTIANI AULIA,https://sinta.kemdiktisaintek.go.id/authors/profile/6668527,Teknik Perencanaan Wilayah Dan Kota (S1),6668527,1,4,149,314,149,314
MUHAMMAD IFFAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258567,Manajemen Pemasaran (D3),258567,2,8,147,905,147,905
RAENI DWI SANTY,https://sinta.kemdiktisaintek.go.id/authors/profile/258564,Manajemen (S2),258564,1,7,146,972,146,972
I MADE ARYANTHA A,https://sinta.kemdiktisaintek.go.id/authors/profile/6003816,Teknik Industri (S1),6003816,1,6,146,335,146,335
BELLA HARDIYANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6724790,Sistem Informasi (S1),6724790,2,10,144,531,144,531
DIAN DHARMAYANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258821,Teknik Informatika (S1),258821,3,7,143,797,143,797
RANGGA SIDIK,https://sinta.kemdiktisaintek.go.id/authors/profile/258690,Sistem Informasi (S1),258690,2,8,143,914,143,914
MIA FITRIAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258666,Sistem Informasi (S1),258666,2,10,142,507,142,507
NOVRINI HASTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258668,Sistem Informasi (S1),258668,4,10,141,773,141,773
DONY WALUYA FIRDAUS,https://sinta.kemdiktisaintek.go.id/authors/profile/258631,Komputerisasi Akuntansi (D3),258631,3,9,141,551,141,551
AGUS RIYANTO,https://sinta.kemdiktisaintek.go.id/authors/profile/259128,Manajemen (S1),259128,5,9,140,747,140,747
EDI FIRDAUS,https://sinta.kemdiktisaintek.go.id/authors/profile/6666525,Manajemen (S1),6666525,0,0,140,177,140,177
"BUDI HERDIANA, ST,MT",https://sinta.kemdiktisaintek.go.id/authors/profile/5973299,Unknown,5973299,3,6,139,515,139,515
LUSI MELIAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258694,Sistem Informasi (S1),258694,3,5,139,534,139,534
RICHI DWI AGUSTIA,https://sinta.kemdiktisaintek.go.id/authors/profile/258671,Teknik Informatika (S1),258671,1,7,138,593,138,593
KANIA EVITA DEWI,https://sinta.kemdiktisaintek.go.id/authors/profile/258639,Teknik Informatika (S1),258639,2,8,136,665,136,665
RETNO PURWANI SARI,https://sinta.kemdiktisaintek.go.id/authors/profile/258190,Sastra Inggris (S1),258190,0,6,136,382,136,382
NIA KARNIAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/259065,Ilmu Pemerintahan (S1),259065,0,8,135,380,135,380
ADAM MUKHARIL BACHTIAR,https://sinta.kemdiktisaintek.go.id/authors/profile/258851,Teknik Informatika (S1),258851,3,13,133,930,133,930
MOHAMMAD ALI,https://sinta.kemdiktisaintek.go.id/authors/profile/6761166,Sastra Jepang (S1),6761166,0,4,130,397,130,397
DEWI TRIWAHYUNI,https://sinta.kemdiktisaintek.go.id/authors/profile/6004750,Ilmu Hubungan Internasional (S1),6004750,1,5,129,605,129,605
MANAP SOLIHAT,https://sinta.kemdiktisaintek.go.id/authors/profile/259309,Unknown,259309,0,7,129,951,129,951
R FENNY SYAFARIANI,https://sinta.kemdiktisaintek.go.id/authors/profile/258626,Ilmu Komunikasi (S1),258626,2,7,127,515,127,515
NIZAR RABBI RADLIYA,https://sinta.kemdiktisaintek.go.id/authors/profile/258724,Sistem Informasi (S1),258724,2,7,126,643,126,643
TATAN TAWAMI,https://sinta.kemdiktisaintek.go.id/authors/profile/258188,Sastra Inggris (S1),258188,2,7,125,518,125,518
WINDI NOVIANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258557,Manajemen (S1),258557,2,6,120,1.057,120,1.057
SURTIKANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/5977822,Akuntansi (S1),5977822,0,5,120,548,120,548
MUHAMMAD RAJAB FACHRIZAL,https://sinta.kemdiktisaintek.go.id/authors/profile/258727,Sistem Informasi (S1),258727,3,9,116,585,116,585
JULIAN ROBECCA,https://sinta.kemdiktisaintek.go.id/authors/profile/6003814,Teknik Industri (S1),6003814,1,6,115,370,115,370
JULIAN CHANDRA WIBAWA,https://sinta.kemdiktisaintek.go.id/authors/profile/258661,Sistem Informasi (S1),258661,2,11,114,739,114,739
GABRIEL SIANTURI,https://sinta.kemdiktisaintek.go.id/authors/profile/6003989,Teknik Industri (S1),6003989,2,5,113,567,113,567
DHINI DEWIYANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/5998751,Teknik Arsitektur (S1),5998751,2,9,112,483,112,483
WENDI ZARMAN,https://sinta.kemdiktisaintek.go.id/authors/profile/258905,Sistem Komputer (S1),258905,1,10,110,477,110,477
HERRY SAPUTRA,https://sinta.kemdiktisaintek.go.id/authors/profile/6803109,Unknown,6803109,1,2,109,168,109,168
LINNA ISMAWATI,https://sinta.kemdiktisaintek.go.id/authors/profile/258562,Manajemen (S1),258562,1,8,108,974,108,974
HIDAYAT,https://sinta.kemdiktisaintek.go.id/authors/profile/5999088,Teknik Komputer (D3),5999088,3,6,108,670,108,670
AGUS MULYANA,https://sinta.kemdiktisaintek.go.id/authors/profile/258880,Teknik Komputer (D3),258880,4,7,107,522,107,522
HANI IRMAYANTI,https://sinta.kemdiktisaintek.go.id/authors/profile/6660741,Teknik Komputer (D3),6660741,2,0,107,536,107,536
NELLY INDRIANI WIDIASTUTI,https://sinta.kemdiktisaintek.go.id/authors/profile/258656,Teknik Informatika (S1),258656,3,10,105,823,105,823
ALIF FINANDHITA,https://sinta.kemdiktisaintek.go.id/authors/profile/6104317,Teknik Informatika (S1),6104317,4,10,105,568,105,568
IYAN ANDRIANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6004157,Teknik Industri (S1),6004157,2,5,103,325,103,325
DEDI MULYASANA,https://sinta.kemdiktisaintek.go.id/authors/profile/6742727,Unknown,6742727,1,7,102,1.102,102,1.102
LITA WULANTIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/5983224,Unknown,5983224,3,4,102,748,102,748
FERRY STEPHANUS SUWITA,https://sinta.kemdiktisaintek.go.id/authors/profile/6709884,Sistem Informasi (S1),6709884,1,2,99,290,99,290
RINI MAULINA,https://sinta.kemdiktisaintek.go.id/authors/profile/6006052,Desain (S2),6006052,1,5,99,604,99,604
FEBRY MAHARLIKA,https://sinta.kemdiktisaintek.go.id/authors/profile/258339,Desain Interior (S1),258339,1,5,97,488,97,488
NUNGKI HERIYATI,https://sinta.kemdiktisaintek.go.id/authors/profile/6036313,Sastra Inggris (S1),6036313,0,6,96,302,96,302
ARJUNA RIZALDI,https://sinta.kemdiktisaintek.go.id/authors/profile/5997124,Manajemen Pemasaran (D3),5997124,1,11,96,730,96,730
TIARA ISFIATY,https://sinta.kemdiktisaintek.go.id/authors/profile/258876,Desain (S2),258876,0,2,95,352,95,352
ONY WIDILESTARININGTYAS,https://sinta.kemdiktisaintek.go.id/authors/profile/258610,Akuntansi (D3),258610,0,5,93,489,93,489
SUGENG,https://sinta.kemdiktisaintek.go.id/authors/profile/6731875,Unknown,6731875,0,5,92,236,92,236
