author_id,source,title,authors,publisher,year,cited,quartile,link
6754370,scopus,Contributing Factors to Greenhouse Gas Emissions in Agriculture for Supporting Sustainable Development Goals (SDGs): Insights from a Systematic Literature Review Completed by Computational Bibliometric Analysis,,Asean Journal of Science and Engineering,2025,14 cited,Q1 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-105006917187&origin=resultslist
6754370,scopus,"Governing ai-driven agriculture: Policy, ethics, and the role of language in knowledge transfer",,Navigating Law and Policy in STM Enterprises Ethical Governance Regulation and Innovation Strategy,2025,0 cited,no-Q as Book,https://www.scopus.com/record/display.uri?eid=2-s2.0-105011884709&origin=resultslist
6754370,scopus,FLOOD DECISION SUPPORT SYSTEM (FDDS) USING MAMDANI FUZZY FOR EARLY WARNING SYSTEM IN INDONESIA,,Journal of Engineering Science and Technology,2025,0 cited,Q3 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-105002404882&origin=resultslist
6754370,scopus,Exploring biomass-based brake pads from various construction wastes in microparticle sizes: Advancing environmentally friendly solutions and student entrepreneurship for sustainable development goals (SDGs),,Scienggj,2025,0 cited,Q4 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-105023279826&origin=resultslist
6754370,scopus,Enhancing agricultural cybersecurity: Leveraging deep learning and large language models for smart farming protection,,Revolutionizing Cybersecurity with Deep Learning and Large Language Models,2025,13 cited,no-Q as Book,https://www.scopus.com/record/display.uri?eid=2-s2.0-105004786381&origin=resultslist
6754370,scopus,AI Security in Agricultural Robotics and Autonomous Farming Systems,,Safeguarding and Securing Autonomous AI Agents,2025,0 cited,no-Q as Book,https://www.scopus.com/record/display.uri?eid=2-s2.0-105022764029&origin=resultslist
6754370,scopus,COMPUTER SCIENCE RESEARCH IN INDONESIA TO CREATE SUSTAINABLE INFRASTRUCTURE FOR UNITED NATIONS SUSTAINABLE DEVELOPMENT GOALS,,Journal of Engineering Science and Technology,2025,0 cited,Q3 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-105001481965&origin=resultslist
6754370,scopus,Ethical and secure AI applications in agricultural research: Challenges and opportunities,,Ensuring Secure and Ethical STM Research in the AI Era,2025,9 cited,no-Q as Book,https://www.scopus.com/record/display.uri?eid=2-s2.0-105008416715&origin=resultslist
6754370,scopus,Protecting LLM-Driven Agricultural Systems: Cybersecurity Risks and Mitigation in Smart Farming,,Securing Large Language Models Against Emerging Threats,2025,0 cited,no-Q as Book,https://www.scopus.com/record/display.uri?eid=2-s2.0-105026199201&origin=resultslist
6754370,scopus,ENHANCING TRUST IN DIGITAL FINANCE: BLOCKCHAIN AND AI FOR SECURE AND TRANSPARENT FINTECH SOLUTIONS,,Journal of Engineering Science and Technology,2025,1 cited,Q3 as Journal,https://www.scopus.com/record/display.uri?eid=2-s2.0-105001500348&origin=resultslist
6754370,garuda,Language Skills in Business Context: A Bibliometric Analysis Using the VOS Viewer Application,,"Journal of Language Learning and Assessment Volume 2, Number 1, June 20241-6",2024,DOI: 10.71194/jlla.v2i1.109,Accred : Unknown,https://garuda.kemdiktisaintek.go.id/documents/detail/4645685
6754370,garuda,Tree Algorithm Model on Size Classification Data Mining,,Jurnal RESTI (Rekayasa Sistem dan Teknologi Informasi) Vol 7 No 4 (2023): August 2023895 - 903,2023,DOI: 10.29207/resti.v7i4.4572,Accred : Sinta 2,https://garuda.kemdiktisaintek.go.id/documents/detail/3640368
6754370,garuda,A Bibliometric Analysis of Management Bioenergy Research Using Vosviewer Application,,"Indonesian Journal of Science and Technology Vol 7, No 1 (2022): IJOST: VOLUME 7, ISSUE 1, April 202289-104",2022,DOI: 10.17509/ijost.v7i1.43328,Accred : Unknown,https://garuda.kemdiktisaintek.go.id/documents/detail/2555400
6754370,garuda,PEMASARAN KULINER INDONESIA BERBASIS DIGITAL MARKETING SEBAGAI SARANA GASTRO DIPLOMASI,,Jurnal Ilmiah Bisnis dan Ekonomi Asia Vol 16 No 2 (2022): Jurnal Ilmiah Bisnis dan Ekonomi Asia282-291,2022,DOI: 10.32815/jibeka.v16i2.968,Accred : Sinta 3,https://garuda.kemdiktisaintek.go.id/documents/detail/2927083
6754370,garuda,Ceria Mentari: Cerita Rakyat Terpopuler (Most Popular Indonesian Folklore) Applications with Augmented Reality,,International Journal of Research and Applied Technology (INJURATECH) Vol 2 No 2 (2022): International Journal of Research and Applied Technology (INJURATECH)229-245,2022,DOI: 10.34010/injuratech.v2i2.8871,Accred : Sinta 5,https://garuda.kemdiktisaintek.go.id/documents/detail/3198948
6754370,garuda,APLIKASI SISTEM E-LEARNING DALAM DUNIA PENDIDIKAN,,Jurnal Teknologi Informasi dan Pendidikan Vol 14 No 1 (2021): Jurnal Teknologi Informasi dan Pendidikan47 - 52,2021,DOI: 10.24036/tip.v14i1.327,Accred : Sinta 3,https://garuda.kemdiktisaintek.go.id/documents/detail/2116178
